wallet,tx_count,total_usd,avg_tx_usd,std_tx_usd,active_days,txn_per_day,deposit_count,borrow_count,repay_count,redeemunderlying_count,liquidationcall_count,net_deposit_usd,net_borrow_usd,borrow_repay_ratio,liquidation_flag,liquidation_freq,days_since_last_tx,entropy_of_actions,label,score
0x00000000001accfa9cef68cf5371a23025b6d4b6,1,1987.6636548592714,1987.6636548592714,0.0,1,1.0,1,0,0,0,0,1987.6636548592714,0.0,0.0,0,0.0,1428,-1.4426951595367387e-09,500,500
0x000000000051d07a4fb3bd10121a343d85818da6,1,285694480361492.7,285694480361492.7,0.0,1,1.0,1,0,0,0,0,285694480361492.7,0.0,0.0,0,0.0,1516,-1.4426951595367387e-09,500,500
0x000000000096026fb41fc39f9875d164bd82e2dc,2,5152310624.158186,2576155312.079093,2338795358.8847265,8,0.25,2,0,0,0,0,5152310624.158186,0.0,0.0,0,0.0,1444,-1.4426951595367387e-09,500,500
0x0000000000e189dd664b9ab08a33c4839953852c,17,980360031666459.6,57668237156850.56,152706177188676.56,130,0.13076923076923078,0,0,0,17,0,-980360031666459.6,0.0,0.0,0,0.0,1418,-1.4426951595367387e-09,500,500
0x0000000002032370b971dabd36d72f3e5a7bf1ee,399,3.797494719848251e+17,951753062618609.2,3360239638434753.0,133,3.0,250,15,4,130,0,9.370281056309026e+16,6.029762086207064e+16,3.0,0,0.0,1412,1.194236795631143,200,200
0x000000000a38444e0a6e37d3b630d7e855a7cb13,25,2.300808111389683e+16,920323244555873.2,1939971378667133.2,40,0.625,7,8,5,5,0,1.3773250258147472e+16,-8.849029300848997,1.3333333333333333,0,0.0,1454,1.9690255678728703,500,500
0x000000003853fcedcd0355fec98ca3192833f00b,8,76376315604.97202,9547039450.621502,9226298166.900515,8,1.0,8,0,0,0,0,76376315604.972,0.0,0.0,0,0.0,1436,-1.4426951595367387e-09,500,500
0x000000003ce0cf2c037493b1dc087204bd7f713e,492,8.908806796796658e+17,1810733088779808.5,5098573105370054.0,124,3.967741935483871,309,30,16,137,0,1.5904729064861504e+17,1.3207594802957736e+17,1.7647058823529411,0,0.0,1412,1.341865741730453,800,800
0x000000007858e6f2668e1e06111cfa24403a5466,1,142160666481.45407,142160666481.45407,0.0,1,1.0,1,0,0,0,0,142160666481.45407,0.0,0.0,0,0.0,1500,-1.4426951595367387e-09,500,500
0x00000001a0f57e850c9db68b4a9bc34677437c5c,1,1.7666525037857388,1.7666525037857388,0.0,1,1.0,1,0,0,0,0,1.7666525037857388,0.0,0.0,0,0.0,1453,-1.4426951595367387e-09,500,500
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,69,2.7961352727990927e+18,4.052369960578395e+16,4.804793279848796e+16,31,2.225806451612903,26,24,9,10,0,-1081242854441600.0,-66718048830720.0,2.4,0,0.0,1506,1.8476673691112935,200,200
0x00000029ff545c86524ade7caf132527707948c4,47,9.991154302078427e+18,2.1257775110805165e+17,3.299288537457748e+17,3,15.666666666666666,12,12,12,11,0,2.127323384789299e+16,1.591866062344064e+16,0.9230769230769231,0,0.0,1551,1.999005913332987,500,500
0x00000087c4cebffb95746d1935de7fbcab092f40,250,4.6536405454213544e+16,186145621816854.2,1395084330906770.8,101,2.4752475247524752,86,62,45,57,0,2.2165345735845724e+16,2.1965049711581988e+16,1.3478260869565217,0,0.0,1411,1.9600760377289375,800,800
0x000000e28faa823d5b53ff6c2922c28335840375,297,1.0141980241541861e+19,3.4148081621353068e+16,5.3119342375623816e+16,138,2.152173913043478,107,66,63,61,0,5.3816188201892096e+17,7.073347824072381e+17,1.03125,0,0.0,1412,1.9563709931632804,800,800
0x000006eee6e39015cb523aebdd4d0b1855aba682,28,1.3913863045762614e+17,4969236802058077.0,7824181534651179.0,42,0.6666666666666666,11,4,1,9,3,-7281990558392360.0,-144215520828780.0,2.0,1,0.07142857142857142,1511,1.9738563319814664,200,200
0x00000a9c78912badb92d73b6ed26456e11def5eb,1,1.6927543127773312,1.6927543127773312,0.0,1,1.0,1,0,0,0,0,1.6927543127773312,0.0,0.0,0,0.0,1450,-1.4426951595367387e-09,500,500
0x00001bc47f0973f794f79c16121cee879e272d6a,4,53501.44012314356,13375.36003078589,108.27396965676441,48,0.08333333333333333,0,0,0,4,0,-53501.44012314356,0.0,0.0,0,0.0,1434,-1.4426951595367387e-09,500,500
0x00002b503a75998c97508916a74fdb41934fa030,147,4.916297965137644e+18,3.3444203844473764e+16,8.451807698595109e+16,126,1.1666666666666667,27,47,45,28,0,7.16206836981025e+17,1.907503963485906e+17,1.0217391304347827,0,0.0,1411,1.9535025041015643,800,800
0x0000897253cc85f7547317eb2080b36b3255687a,2,931718162095154.8,465859081047577.4,461996727374.23254,4,0.5,1,0,0,1,0,653362037624.625,0.0,0.0,0,0.0,1425,0.99999999711461,500,500
0x0000b252c943089fbba5554a1d196ef79bc77e4f,1,1.116218296466259,1.116218296466259,0.0,1,1.0,1,0,0,0,0,1.116218296466259,0.0,0.0,0,0.0,1451,-1.4426951595367387e-09,500,500
0x0000ce08fa224696a819877070bf378e8b131acf,14,2752414713056826.0,196601050932630.44,412598363511819.7,76,0.18421052631578946,3,1,0,10,0,-1490547102934525.8,1257932658028035.8,1.0,0,0.0,1455,1.0949143140840125,500,500
0x00010a708585ba4812a1c5976182626c75cb7a6b,29,1770176221970117.5,61040559378279.914,135489155815666.62,80,0.3625,9,6,7,7,0,1121932090375308.5,324727262133.5,0.75,0,0.0,1416,1.984116543628716,500,500
0x00016fc0c9f7620e920e1423fd455f9574f48025,2,3145759276004.6475,1572879638002.3237,9340673253.725176,2,1.0,2,0,0,0,0,3145759276004.6475,0.0,0.0,0,0.0,1457,-1.4426951595367387e-09,500,500
0x0002761e848b24046a53d494847b11a3e1d36b09,1,1002262174437.4796,1002262174437.4796,0.0,1,1.0,1,0,0,0,0,1002262174437.4796,0.0,0.0,0,0.0,1459,-1.4426951595367387e-09,500,500
0x00027e45436f11ec8549b7d5e0b86748ee61c13d,2,1.0112506095471125,0.5056253047735563,0.7149225575902196,8,0.25,2,0,0,0,0,1.0112506095471125,0.0,0.0,0,0.0,1456,-1.4426951595367387e-09,500,500
0x0003816b25fd3d6c112eb65c089760fa3f791947,4,2.013471483690053e+16,5033678709225132.0,2409753211610340.5,1,4.0,1,1,1,1,0,4226782900490.0,-357500000004.5,0.5,0,0.0,1513,1.9999999942292197,500,500
0x0003bbb966655dc0fbbb380797b07fc547e9ddc5,37,551880524360193.75,14915689847572.805,59871471017704.72,101,0.36633663366336633,12,5,0,20,0,-485538508950540.75,917.4028183810866,5.0,0,0.0,1420,1.3968114050620017,200,200
0x0003d4fb942d0cad7fa1b658ad6d46ef6c15f11b,2,2098.9873081803526,1049.4936540901763,0.0001660858988227528,1,2.0,1,0,0,1,0,-0.00023488093052037584,0.0,0.0,0,0.0,1524,0.99999999711461,500,500
0x0003f46779806fe779e7f30eec95dbdb4d45840b,24,7156.1624181787565,298.17343409078154,250.58079603991493,83,0.2891566265060241,8,6,5,5,0,786.124113308796,621.6598191443973,1.0,0,0.0,1412,1.9712518302336859,500,500
0x0004849537dab5c33fc8c494d05313dfbe2d99f3,10,3378.86553919038,337.88655391903796,280.7771908692053,83,0.12048192771084337,2,3,1,4,0,-341.58071301060534,-37.810265311356716,1.5,0,0.0,1412,1.8464393389002354,500,500
0x0004a89403e17f544bfbd25ecb1a7d9215a1d61b,2,2741759361949521.0,1370879680974760.5,1938716637215475.0,1,2.0,1,1,0,0,0,2741759361949002.5,518.3127324254524,1.0,0,0.0,1414,0.99999999711461,500,500
0x0004d4112ee696dabc22b221bef156ecdaeb1a59,6,116097939177261.4,19349656529543.566,5117919230585.068,1,6.0,2,1,1,2,0,14158287.0,0.0,0.5,0,0.0,1514,1.9182958282837093,500,500
0x0005696d4be2359526c497fe4a4c0620b41f2426,7,1585548155036075.5,226506879290867.94,353716423932425.0,1,7.0,1,1,1,4,0,-114173513637765.88,0.8081354935577565,0.5,0,0.0,1496,1.6644977734296813,500,500
0x000660cad76200a2e326f53e033919905e6c50f5,1,1.06485257555633,1.06485257555633,0.0,1,1.0,1,0,0,0,0,1.06485257555633,0.0,0.0,0,0.0,1460,-1.4426951595367387e-09,500,500
0x00069a4bf1b2a8d5eded8e91347dbaa70796ff54,1,1153676531039.4421,1153676531039.4421,0.0,1,1.0,1,0,0,0,0,1153676531039.4421,0.0,0.0,0,0.0,1453,-1.4426951595367387e-09,500,500
0x00080000158a9930aeb508823103b0a977161c47,2,2617513598912.1426,1308756799456.0713,390479818531.7279,10,0.2,2,0,0,0,0,2617513598912.1426,0.0,0.0,0,0.0,1457,-1.4426951595367387e-09,500,500
0x00099b1263c22ae2ce0a52624cef2a012e751970,2,1058147343307.2289,529073671653.61444,748152887945.2372,8,0.25,2,0,0,0,0,1058147343307.2289,0.0,0.0,0,0.0,1455,-1.4426951595367387e-09,500,500
0x0009ce45d5df78e632a0b4987079432dfba2253a,1,32446847156.000053,32446847156.000053,0.0,1,1.0,1,0,0,0,0,32446847156.000053,0.0,0.0,0,0.0,1536,-1.4426951595367387e-09,500,500
0x000a27ba176083e4b50177378cbe7469a00dd557,12,875.3715109244683,72.94762591037237,49.721095681111535,34,0.35294117647058826,4,2,2,4,0,1.0106111669889515,0.16049246333577116,0.6666666666666666,0,0.0,1470,1.9182958282837093,500,500
0x000a3d1bef684a7c029267a26068de56b1c1b4dc,43,5.2144107987870744e+16,1212653674136529.0,1959187251358058.2,26,1.6538461538461537,18,8,5,12,0,-1.3417265165115464e+16,73564641639592.6,1.3333333333333333,0,0.0,1478,1.8521289231394038,500,500
